Baselines,Avg MSE,Stderr,Std MSE,Stderr Std
greedy_1,4.414846237896036,0.06970774753173642,2.2296954909382265,0.23847220593405252
greedy_2,4.34896907107285,0.2379556150403026,2.1359689551208643,0.1715012373418723
greedy_3,4.509460959105523,0.18890070106811463,2.263646255415355,0.22404900496861743
greedy_4,4.233805287385103,0.0319515619063265,2.629064778773224,0.052796425795452157
greedysum,4.431698435678056,0.1357492997973174,2.343289985069546,0.16714492097952027
dynamic_beta,4.320757644211169,0.10284103863342096,2.438183431763991,0.13012593312397785
joint,5.55146161423307,0.8025546759509361,2.1897183582883843,0.4650190575469365
rand,4.505784836440619,0.16280755781753856,2.3423923002142417,0.20668392883218734
entropy,4.116039444386101,0.13180383970153262,2.5240490141583676,0.09108293343710483
ind,7.270185428497956,0.19832969908505096,2.8688988626094547,0.08024325242313031
